LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FLUVACCIN,TOT,PC_POP65,A,2000,74,
AUS,FLUVACCIN,TOT,PC_POP65,A,2001,78,
AUS,FLUVACCIN,TOT,PC_POP65,A,2002,76.9,
AUS,FLUVACCIN,TOT,PC_POP65,A,2003,76.9,
AUS,FLUVACCIN,TOT,PC_POP65,A,2004,79.1,
AUS,FLUVACCIN,TOT,PC_POP65,A,2006,77.5,
AUS,FLUVACCIN,TOT,PC_POP65,A,2009,74.6,
AUT,FLUVACCIN,TOT,PC_POP65,A,2006,36.1,
AUT,FLUVACCIN,TOT,PC_POP65,A,2014,20.3,B
BEL,FLUVACCIN,TOT,PC_POP65,A,2001,58,
BEL,FLUVACCIN,TOT,PC_POP65,A,2004,64,
BEL,FLUVACCIN,TOT,PC_POP65,A,2008,65,
BEL,FLUVACCIN,TOT,PC_POP65,A,2013,58,
CAN,FLUVACCIN,TOT,PC_POP65,A,2000,63,
CAN,FLUVACCIN,TOT,PC_POP65,A,2003,67.2,
CAN,FLUVACCIN,TOT,PC_POP65,A,2005,70.9,
CAN,FLUVACCIN,TOT,PC_POP65,A,2007,69,
CAN,FLUVACCIN,TOT,PC_POP65,A,2008,66.6,
CAN,FLUVACCIN,TOT,PC_POP65,A,2009,66.5,
CAN,FLUVACCIN,TOT,PC_POP65,A,2010,59.4,
CAN,FLUVACCIN,TOT,PC_POP65,A,2011,64.4,
CAN,FLUVACCIN,TOT,PC_POP65,A,2012,64.1,
CAN,FLUVACCIN,TOT,PC_POP65,A,2013,64.1,
CAN,FLUVACCIN,TOT,PC_POP65,A,2014,63.1,
CAN,FLUVACCIN,TOT,PC_POP65,A,2015,60.8,B
CAN,FLUVACCIN,TOT,PC_POP65,A,2016,59.8,
CZE,FLUVACCIN,TOT,PC_POP65,A,2002,16.5,
CZE,FLUVACCIN,TOT,PC_POP65,A,2008,19.4,
CZE,FLUVACCIN,TOT,PC_POP65,A,2014,15.5,
DNK,FLUVACCIN,TOT,PC_POP65,A,2002,6.2,
DNK,FLUVACCIN,TOT,PC_POP65,A,2003,19.9,
DNK,FLUVACCIN,TOT,PC_POP65,A,2004,30.6,
DNK,FLUVACCIN,TOT,PC_POP65,A,2005,34,
DNK,FLUVACCIN,TOT,PC_POP65,A,2006,33.4,
DNK,FLUVACCIN,TOT,PC_POP65,A,2007,39.3,
DNK,FLUVACCIN,TOT,PC_POP65,A,2008,51,
DNK,FLUVACCIN,TOT,PC_POP65,A,2009,48.5,
DNK,FLUVACCIN,TOT,PC_POP65,A,2010,45.6,
DNK,FLUVACCIN,TOT,PC_POP65,A,2011,45.8,
DNK,FLUVACCIN,TOT,PC_POP65,A,2012,43.1,
DNK,FLUVACCIN,TOT,PC_POP65,A,2013,45.6,
DNK,FLUVACCIN,TOT,PC_POP65,A,2014,43,
DNK,FLUVACCIN,TOT,PC_POP65,A,2015,41.9,
DNK,FLUVACCIN,TOT,PC_POP65,A,2016,40.8,
FIN,FLUVACCIN,TOT,PC_POP65,A,2001,25,
FIN,FLUVACCIN,TOT,PC_POP65,A,2002,43,
FIN,FLUVACCIN,TOT,PC_POP65,A,2003,45,
FIN,FLUVACCIN,TOT,PC_POP65,A,2004,46,
FIN,FLUVACCIN,TOT,PC_POP65,A,2005,52,
FIN,FLUVACCIN,TOT,PC_POP65,A,2006,46,
FIN,FLUVACCIN,TOT,PC_POP65,A,2007,48.4,
FIN,FLUVACCIN,TOT,PC_POP65,A,2008,51,
FIN,FLUVACCIN,TOT,PC_POP65,A,2009,46,
FIN,FLUVACCIN,TOT,PC_POP65,A,2010,40.3,B
FIN,FLUVACCIN,TOT,PC_POP65,A,2011,38.5,
FIN,FLUVACCIN,TOT,PC_POP65,A,2012,36.4,
